Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID
2.01505E+11,4,sign - erect,5/6/15,326,23,140,,Ellis,St,,,"ground fl facade: to erect illuminated, electric, wall, single faced sign. n/a for maher ordinance 155-13.",expired,12/21/17,5/6/15,11/9/15,,11/9/15,,6,,,,11/3/16,4000,4000,tourist hotel/motel,143,,,2,,3,constr type 3,,,,3,Tenderloin,94102,"(37.785719256680785, -122.40852313194863)",1.38061E+12
2.01604E+11,4,sign - erect,4/19/16,306,7,440,,Geary,St,0,,remove (e) awning and associated signs.,issued,8/3/17,4/19/16,8/3/17,,8/3/17,,7,,,,12/3/17,1,500,tourist hotel/motel,,,,2,,3,constr type 3,,,,3,Tenderloin,94102,"(37.78733980600732, -122.41063199757738)",1.42016E+12
2.01605E+11,3,additions alterations or repairs,5/27/16,595,203,1647,,Pacific,Av,,,installation of separating wall,withdrawn,9/26/17,5/27/16,,,,,6,6,,,,20000,,retail sales,39,retail sales,39,2,,1,constr type 1,1,constr type 1,,3,Russian Hill,94109,"(37.7946573324287, -122.42232562979227)",1.42486E+12
2.01611E+11,8,otc alterations permit,11/7/16,156,11,1230,,Pacific,Av,0,,repair dryrot & stucco at front of bldg.,complete,7/24/17,11/7/16,7/18/17,7/24/17,7/18/17,,2,2,,,7/13/18,2000,2000,1 family dwelling,1,1 family dwelling,1,2,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79595867909168, -122.41557405519474)",1.44357E+12
2.01611E+11,6,demolitions,11/28/16,342,1,950,,Market,St,,,demolish retail/office/commercial 3-story building,issued,12/1/17,11/28/16,12/1/17,,11/20/17,,3,,,,12/1/18,100000,100000,retail sales,,,,2,,3,constr type 3,,,,6,Tenderloin,94102,"(37.78315261897309, -122.40950883997789)",1.44548E+11
2.01706E+11,8,otc alterations permit,6/14/17,4105,9,800,,Indiana,St,,,evac maps,issued,7/6/17,6/14/17,7/6/17,,7/6/17,,5,5,,Y,7/1/18,4000,4000,apartments,326,apartments,326,2,,1,constr type 1,1,constr type 1,,10,Potrero Hill,94107,"(37.75922331346539, -122.39170402628598)",1.46691E+12
2.01706E+11,8,otc alterations permit,6/30/17,1739,20,1291,,11th,Av,0,,re-roofing,complete,7/12/17,6/30/17,6/30/17,7/12/17,6/30/17,,3,3,,,6/25/18,12000,12000,apartments,5,apartments,5,0,,5,wood frame (5),5,wood frame (5),,5,Inner Sunset,94122,"(37.764145640138565, -122.46875112470363)",1.46897E+12
M803667,8,otc alterations permit,6/30/17,4789,14,1465,,Revere,Av,,,streetspace,issued,6/30/17,6/30/17,6/30/17,,6/30/17,,,,,,,,0,,,,,,,,,,,,10,Bayview Hunters Point,94124,"(37.73005099023611, -122.38784938916618)",1.46904E+12
M804227,8,otc alterations permit,7/5/17,1212,54,2094,,Fell,St,,,street space permit,issued,7/5/17,7/5/17,7/5/17,,7/5/17,,,,,,,,1,,,,,,,,,,,,5,Lone Mountain/USF,94117,"(37.772393498502595, -122.45231466824669)",1.4692E+12
M804767,8,otc alterations permit,7/6/17,1259,16,89,,Alpine,Tr,,,street space,issued,7/6/17,7/6/17,7/6/17,,7/6/17,,,,,,,,0,,,,,,,,,,,,8,Haight Ashbury,94117,"(37.7691724293766, -122.43734859051908)",1.46932E+11
M805287,8,otc alterations permit,7/6/17,3541,1,106,,Sanchez,St,,,street space,issued,7/6/17,7/6/17,7/6/17,,7/6/17,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.767349757757145, -122.43140682973024)",1.46945E+12
M805907,8,otc alterations permit,7/7/17,829,21,675,,Fell,St,,,street space,issued,7/7/17,7/7/17,7/7/17,,7/7/17,,,,,,,,1,,,,,,,,,,,,5,Hayes Valley,94102,"(37.774914087334544, -122.42886839796792)",1.46962E+11
M806447,8,otc alterations permit,7/10/17,6537,23,4082,,25th,St,,,street space,issued,7/10/17,7/10/17,7/10/17,,7/10/17,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94114,"(37.75006779619502, -122.43127350268124)",1.46978E+12
2.01707E+11,8,otc alterations permit,7/25/17,6589,002R,681,,27th,St,,,remove and replace landscape wall,filed,7/25/17,7/25/17,,,,,2,2,,,,30000,0,1 family dwelling,1,1 family dwelling,1,2,,5,wood frame (5),5,wood frame (5),,8,Noe Valley,94131,"(37.7462205625642, -122.4353484860549)",1.4718E+12
M813729,8,otc alterations permit,7/26/17,1049,27,2761,,Pine,St,,,street space,issued,7/26/17,7/26/17,7/26/17,,7/26/17,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.78676200041077, -122.44124093333335)",1.47204E+11
M813907,8,otc alterations permit,7/27/17,243,43,840,,Powell,St,301,,street space,issued,7/27/17,7/27/17,7/27/17,,7/27/17,,,,,,,,1,,,,,,,,,,,,3,Chinatown,94108,"(37.7926690651263, -122.40883941791454)",1.47209E+11
M813967,8,otc alterations permit,7/27/17,268,8,220,,Montgomery,St,,,street space permit,issued,7/27/17,7/27/17,7/27/17,,7/27/17,,,,,,,,1,,,,,,,,,,,,3,Financial District/South Beach,94104,"(37.79130641988351, -122.40198579459195)",1.47212E+11
M814148,8,otc alterations permit,7/27/17,3621,97,3707,,21st,St,0,,street space & sidewalk repair,issued,7/27/17,7/27/17,7/27/17,,7/27/17,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94114,"(37.75607840165479, -122.43041143390109)",1.47218E+12
2.01707E+11,8,otc alterations permit,7/28/17,472,42,1307,,Bay,St,1,,soft story ordinance sf building code chptr 34b and fema p807,filed,7/28/17,7/28/17,,,,,4,4,,,,75000,0,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,2,Marina,94123,"(37.8035183252307, -122.42863180996076)",1.47228E+12
M814368,8,otc alterations permit,7/28/17,2659,1,263,,Corbett,Av,0,,street space,issued,7/28/17,7/28/17,7/28/17,,7/28/17,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.761092365437214, -122.44402154957145)",1.4723E+12
M814967,8,otc alterations permit,7/31/17,1176,68,1624,,Fulton,St,,,street space,issued,7/31/17,7/31/17,7/31/17,,7/31/17,,,,,,,,1,,,,,,,,,,,,5,Lone Mountain/USF,94117,"(37.77640228859421, -122.44361679686382)",1.47262E+12
2.01708E+11,8,otc alterations permit,8/1/17,6529,10,3410,,26th,St,,,repair fire damage to comply with nov #201551241.,filed,8/1/17,8/1/17,,,,,2,2,,,,100000,0,2 family dwelling,2,2 family dwelling,2,2,,5,wood frame (5),5,wood frame (5),,9,Mission,94110,"(37.74914175355125, -122.41849211166853)",1.47273E+12
2.01708E+11,3,additions alterations or repairs,8/1/17,74,43,2150,,Taylor,St,,,"soft story retrofit per sfebc chapter 4d, asce 41-06.",filed,8/1/17,8/1/17,,,,,3,3,,,,100000,,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,3,Russian Hill,94133,"(37.802405951667645, -122.41446286561653)",1.47281E+11
M816927,8,otc alterations permit,8/7/17,941,12,2824,,Filbert,St,,,street space,issued,8/7/17,8/7/17,8/7/17,,8/7/17,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.79697456740493, -122.44615769723546)",1.47359E+11
2.01708E+11,8,otc alterations permit,8/8/17,542,39,1,,Charlton,Ct,,,re-roofing,issued,8/8/17,8/8/17,8/8/17,,8/8/17,,4,4,,,8/8/18,64650,64650,apartments,9,apartments,9,0,,5,wood frame (5),5,wood frame (5),,2,Marina,94123,"(37.79739093461306, -122.43127133823367)",1.4738E+12
2.01708E+11,8,otc alterations permit,8/16/17,1824,6,1435,,29th,Av,,,re-roofing,issued,8/16/17,8/16/17,8/16/17,,8/16/17,,2,2,,,2/16/18,7000,7000,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,4,Sunset/Parkside,94122,"(37.76052279949518, -122.4879889739165)",1.47484E+12
M820728,8,otc alterations permit,8/18/17,1449,6,331,,17th,Av,,,street space,issued,8/18/17,8/18/17,8/18/17,,8/18/17,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.78177022745135, -122.47658979438802)",1.47522E+12
M821207,8,otc alterations permit,8/21/17,1193,24,120,,Shrader,St,,,street space & sidewalk repair,issued,8/21/17,8/21/17,8/21/17,,8/21/17,,,,,,,,1,,,,,,,,,,,,5,Lone Mountain/USF,94117,"(37.77371007080848, -122.45243180846707)",1.47538E+11
M821268,8,otc alterations permit,8/21/17,1851,12,1512,,06th,Av,,,street space,issued,8/21/17,8/21/17,8/21/17,,8/21/17,,,,,,,,1,,,,,,,,,,,,7,Inner Sunset,94122,"(37.760252335082875, -122.4625393396095)",1.47541E+12
M821847,8,otc alterations permit,8/22/17,326,1,165,,Powell,St,,,street space,issued,8/22/17,8/22/17,8/22/17,,8/22/17,,,,,,,,1,,,,,,,,,,,,3,Tenderloin,94102,"(37.78625524960107, -122.40834431815433)",1.47561E+12
M822307,8,otc alterations permit,8/23/17,182,4,1441,,Taylor,St,0,,street space,issued,8/23/17,8/23/17,8/23/17,,8/23/17,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94133,"(37.79566333315149, -122.41363462406336)",1.47576E+12
M822487,8,otc alterations permit,8/23/17,3580,17,3830,,18th,St,0,,street space permit,issued,8/23/17,8/23/17,8/23/17,,8/23/17,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.761512899115466, -122.42911964946909)",1.4758E+12
M822707,8,otc alterations permit,8/23/17,3610,41,563,,Capp,St,,,street space,issued,8/23/17,8/23/17,8/23/17,,8/23/17,,,,,,,,0,,,,,,,,,,,,9,Mission,94110,"(37.75771026684177, -122.4175528755785)",1.47584E+12
2.01708E+11,3,additions alterations or repairs,8/24/17,3749,47,76,,Lansing,St,,,"mandatory soft-story compliance per sfebc ch.4d, criteria fema p807 & asce 41-13.",approved,12/14/17,8/24/17,,,,,3,3,,,,73000,73000,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,6,Financial District/South Beach,94105,"(37.78595425737664, -122.39444130117158)",1.47603E+12
M823847,8,otc alterations permit,8/25/17,3545,018A,1810,,15th,St,,,street space,issued,8/25/17,8/25/17,8/25/17,,8/25/17,,,,,,,,1,,,,,,,,,,,,8,Mission,94103,"(37.766508011617525, -122.42470825254468)",1.47623E+12
M824007,8,otc alterations permit,8/25/17,749,006A,1445,,Eddy,St,,,street space,issued,8/25/17,8/25/17,8/25/17,,8/25/17,,,,,,,,1,,,,,,,,,,,,5,Western Addition,94115,"(37.7813061748427, -122.43142154292566)",1.47627E+11
M824127,8,otc alterations permit,8/28/17,6551,23,1383,,Church,St,,,street space,issued,8/28/17,8/28/17,8/28/17,,8/28/17,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94114,"(37.748779856735744, -122.42683572581998)",1.47636E+12
M824927,8,otc alterations permit,8/29/17,6597,24,681,,San Jose,Av,,,street space,issued,8/29/17,8/29/17,8/29/17,,8/29/17,,,,,,,,1,,,,,,,,,,,,8,Bernal Heights,94110,"(37.74446179156465, -122.42217241874201)",1.47671E+12
M825267,8,otc alterations permit,8/29/17,1572,17,606,,30th,Av,,,street space,issued,8/29/17,8/29/17,8/29/17,,8/29/17,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.77767213358907, -122.48966493609916)",1.47672E+12
M828787,8,otc alterations permit,9/7/17,177,22,655,,Pacific,Av,0,,street space,issued,9/7/17,9/7/17,9/7/17,,9/7/17,,,,,,,,0,,,,,,,,,,,,3,Chinatown,94133,"(37.79673343870443, -122.40610115140781)",1.47787E+12
M829567,8,otc alterations permit,9/8/17,490,2,3325,,Steiner,St,,,street space,issued,9/8/17,9/8/17,9/8/17,,9/8/17,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.80002156448977, -122.43806594677513)",1.47814E+11
M832207,8,otc alterations permit,9/15/17,1609,021F,700,,36th,Av,,,street space,issued,9/15/17,9/15/17,9/15/17,,9/15/17,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.77554028396788, -122.49601102992328)",1.47953E+12
2.01709E+11,8,otc alterations permit,9/15/17,1429,10,249,,04th,Av,,,soft story retrofit per sfebc chapter 4d: 2016 cebc appendix a-4,filed,9/15/17,9/15/17,,,,,3,3,,,,18000,0,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,1,Inner Richmond,94118,"(37.7839252036892, -122.46267353170244)",1.47974E+12
M833229,8,otc alterations permit,9/19/17,605,28,2379,,Jackson,St,1,,street space,issued,9/19/17,9/19/17,9/19/17,,9/19/17,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.792266300903314, -122.4340191358936)",1.48016E+12
